session_duration_sec,cart_value,total_lifetime_spend,total_orders,days_since_last_order,category_match,loyalty_tier_score,purchased
99.5,20.79,123.81,1,5,1,1,0
556.8,27.42,387.54,4,1,0,1,0
252.0,111.29,312.93,4,53,1,2,1
179.3,56.59,418.16,4,7,1,1,0
45.5,92.87,870.13,7,5,0,1,1
45.5,93.4,730.92,5,11,0,3,0
25.8,51.73,529.32,5,47,1,1,0
377.0,81.67,702.61,6,9,1,1,1
180.4,49.68,197.95,2,26,0,1,0
236.6,44.02,467.28,5,9,1,2,1
18.7,37.56,142.11,5,17,0,1,0
645.6,78.26,200.8,5,25,0,1,1
336.6,123.13,346.51,5,47,1,1,1
58.0,114.7,522.18,5,11,0,1,0
51.1,24.84,89.56,3,20,1,1,0
51.5,121.81,272.31,3,34,0,2,0
80.3,32.19,86.85,4,11,0,2,0
148.9,64.56,119.59,1,9,0,3,0
116.8,71.55,640.21,6,28,0,2,0
77.0,20.84,87.69,1,100,0,2,0
185.3,52.99,94.25,1,80,1,1,0
42.0,126.22,423.78,3,31,0,3,0
77.2,11.67,551.48,4,18,0,1,0
97.1,205.83,246.12,2,28,0,4,0
124.6,14.18,191.13,3,54,0,3,0
291.8,70.47,135.77,4,4,1,1,1
55.1,21.51,308.93,5,50,1,4,0
145.0,77.24,471.02,4,36,1,1,0
176.6,111.77,397.72,4,11,1,3,1
23.6,94.55,558.62,5,69,0,3,0
183.4,103.71,202.16,6,3,1,1,0
48.7,49.81,162.39,4,83,0,2,0
27.1,22.43,212.72,2,17,1,2,0
550.3,125.71,341.67,5,55,0,2,1
621.7,178.97,339.97,5,6,1,1,1
312.4,62.6,213.14,3,28,1,1,1
80.4,46.34,370.42,3,2,0,1,0
33.5,35.23,332.63,3,11,1,1,0
222.5,90.98,67.57,2,59,1,1,0
119.4,106.61,194.3,3,20,0,1,0
38.4,46.35,537.99,5,36,1,1,1
138.0,141.78,734.48,5,55,0,1,0
21.3,86.52,0.0,0,999,0,1,0
447.1,62.16,209.1,4,29,1,2,1
68.9,71.86,28.58,1,48,0,3,0
210.5,30.34,472.62,5,5,1,1,0
82.2,90.37,436.88,6,3,1,3,1
147.1,31.67,175.36,4,32,1,2,0
157.4,42.65,0.0,0,999,0,1,0
51.8,56.53,204.23,5,34,1,3,1
643.7,162.68,262.77,4,41,1,2,1
283.6,68.41,246.59,2,36,1,3,1
519.9,33.74,435.84,4,31,0,3,0
420.4,72.02,197.85,2,8,1,2,1
179.0,83.46,705.04,5,61,1,3,1
473.9,116.96,181.52,5,29,1,1,1
31.7,58.28,439.3,4,126,1,1,0
54.3,37.08,176.26,5,3,1,1,0
23.3,187.97,75.46,2,12,0,2,0
85.8,72.11,858.35,10,4,0,1,0
103.6,33.88,69.4,3,65,1,2,0
72.0,57.96,85.13,1,56,1,2,0
332.6,42.67,148.63,7,49,0,3,0
94.4,121.11,294.94,3,38,0,1,0
74.4,82.99,0.0,0,999,0,2,0
155.8,48.45,215.77,7,18,0,1,0
42.3,106.65,486.04,4,41,1,1,0
306.7,55.09,141.38,2,15,0,3,0
28.9,57.14,310.89,4,42,0,1,0
795.1,36.42,343.41,5,12,0,1,0
281.3,36.24,123.49,4,26,1,3,1
54.9,180.71,319.16,4,15,1,1,0
16.0,103.71,106.51,1,84,0,3,0
319.2,16.11,412.32,3,20,0,2,0
235.9,31.17,477.18,4,12,1,1,1
250.0,27.07,90.92,3,2,1,2,0
280.5,61.4,166.22,4,6,1,2,0
28.8,45.29,0.0,0,999,0,2,0
94.9,135.37,177.6,5,40,1,1,0
37.2,48.01,247.41,3,102,1,1,0
372.9,170.0,339.96,7,30,0,3,1
190.7,56.14,312.7,3,38,1,1,0
87.3,191.66,72.62,3,32,1,2,1
26.8,52.06,788.65,6,77,1,3,0
82.0,52.7,432.37,4,12,0,1,0
85.8,102.36,291.96,2,31,1,1,0
250.4,93.7,431.6,3,106,1,2,0
197.7,24.16,770.56,7,1,0,2,0
407.8,62.31,40.55,1,11,0,1,0
130.0,45.02,293.22,6,47,0,1,0
37.9,43.09,392.6,7,21,0,2,0
239.8,62.13,452.81,6,7,1,2,0
272.5,49.24,471.07,5,28,0,2,0
163.3,66.18,869.9,8,24,1,1,0
280.3,30.26,89.5,3,20,1,1,0
137.5,20.55,198.74,2,14,0,2,0
148.1,104.69,83.08,3,2,1,1,0
115.4,114.31,382.54,3,31,0,1,0
19.6,100.87,75.77,3,24,1,3,0
35.6,60.44,212.12,3,29,0,1,0
20.7,46.89,372.99,5,1,1,1,0
197.1,39.45,94.15,1,3,1,2,1
82.9,34.86,129.63,4,7,1,3,0
142.9,56.18,282.61,2,20,1,4,1
443.6,112.66,209.45,3,55,1,3,1
66.6,37.34,286.02,4,10,0,2,0
110.1,112.77,412.81,8,55,0,3,0
268.6,21.27,242.99,2,9,0,2,0
61.8,68.29,84.04,4,46,0,1,0
29.4,77.04,135.23,4,69,1,2,0
76.6,42.17,487.19,6,56,0,1,0
46.6,28.98,729.39,5,45,0,1,0
492.9,96.65,49.25,2,2,0,1,0
312.2,60.72,112.24,4,14,1,2,0
195.6,225.66,564.68,5,8,0,3,1
384.3,113.67,231.22,2,22,1,4,1
308.0,114.2,546.41,4,15,1,2,1
52.2,10.18,664.73,7,32,0,1,0
416.5,37.83,217.38,3,28,0,1,0
154.5,26.76,157.28,2,19,0,1,0
311.5,14.08,380.48,5,48,0,2,0
422.6,57.77,439.68,3,1,1,1,1
83.9,95.23,277.65,4,66,1,2,0
36.0,30.89,97.47,3,1,0,2,0
61.6,14.64,172.95,3,20,1,1,0
115.3,32.6,1158.49,8,70,1,1,1
321.7,53.5,302.69,4,18,1,1,1
369.8,51.06,244.36,4,47,1,2,1
16.3,59.56,301.99,5,17,1,1,0
143.7,76.08,42.36,2,63,1,1,0
112.2,58.65,306.92,3,236,1,1,0
60.2,98.38,228.31,2,76,1,2,0
38.0,31.27,0.0,0,999,1,1,0
89.1,49.73,667.31,5,6,0,1,0
530.4,83.67,349.73,3,26,1,1,0
85.3,70.19,490.57,5,108,1,1,0
146.7,158.46,445.98,4,18,1,1,1
233.5,32.14,720.17,6,11,1,1,0
96.4,84.58,619.62,7,111,0,2,0
657.2,39.13,286.86,4,41,1,1,1
605.8,36.39,181.71,5,49,1,1,1
67.2,109.68,72.64,1,4,0,2,0
138.8,58.25,183.02,2,10,1,1,0
79.4,69.46,572.89,4,23,0,1,0
75.3,41.1,361.23,9,44,1,4,1
21.8,42.64,355.21,3,15,1,3,0
184.3,20.28,205.17,4,8,1,3,0
140.7,66.15,1010.88,7,19,0,1,0
24.5,29.29,291.98,3,19,0,2,0
73.8,54.12,381.31,5,68,1,1,0
445.0,98.32,65.09,1,90,0,3,0
64.3,16.68,92.52,2,7,1,1,0
43.2,260.8,112.88,1,11,1,2,1
136.0,35.91,513.38,5,51,0,1,0
778.9,55.09,271.44,2,10,0,1,1
64.9,69.41,585.92,6,11,1,2,1
215.7,35.13,126.22,3,38,1,2,0
273.1,43.62,543.84,5,24,1,3,1
63.8,111.79,536.97,4,40,1,1,0
249.5,92.07,297.52,2,3,0,4,0
97.5,50.39,327.18,3,24,0,3,0
195.1,59.1,172.92,3,37,1,2,0
195.7,64.48,93.5,1,22,0,2,0
153.1,82.38,434.74,5,5,1,1,0
32.0,85.92,173.11,2,5,0,1,0
339.7,84.57,151.1,5,30,1,3,1
84.6,45.44,135.87,3,6,1,1,0
52.2,63.23,352.54,4,12,1,1,0
22.5,104.83,371.29,3,20,1,1,0
175.9,187.69,218.16,5,30,1,1,0
218.7,62.15,248.14,6,11,1,1,1
18.0,41.62,831.47,7,18,1,2,0
144.2,34.7,439.09,4,16,0,3,0
61.2,84.97,249.19,3,4,0,1,0
201.5,19.66,26.55,1,54,1,3,1
49.5,85.48,81.45,1,45,0,2,0
226.4,86.37,385.59,3,51,0,1,0
103.0,42.58,85.52,4,6,0,1,0
511.9,68.48,200.03,6,24,1,1,1
41.6,51.44,250.43,2,14,0,1,0
90.1,23.44,353.08,4,15,1,4,1
36.7,81.78,424.38,4,3,0,3,0
480.5,77.45,467.43,4,96,0,3,1
392.7,44.75,295.14,5,93,0,1,0
68.7,185.98,176.17,3,18,1,3,1
209.2,59.4,54.31,1,64,0,1,0
320.9,15.65,166.97,4,14,1,2,1
160.8,108.07,357.7,6,27,1,1,0
150.8,93.66,575.47,4,45,0,2,0
64.8,100.25,311.77,10,25,0,2,0
32.6,30.36,102.57,2,6,1,2,0
424.5,67.38,368.05,6,16,1,1,1
430.2,58.79,359.96,9,47,1,3,1
195.5,53.02,90.19,3,50,1,2,0
89.5,124.87,287.29,7,14,1,3,1
92.3,59.91,265.84,3,26,1,1,0
248.0,45.75,292.73,3,8,1,1,0
424.3,45.46,239.92,5,10,1,1,0
407.6,28.86,256.48,3,6,1,1,1
287.4,63.51,104.05,5,19,1,1,1
199.9,130.5,294.79,3,42,1,2,0
30.8,48.12,20.17,1,70,0,2,0
46.7,69.67,414.24,4,26,1,1,0
426.9,52.5,414.16,5,35,0,2,0
182.8,56.05,171.03,5,11,1,1,0
16.7,96.15,283.43,9,8,0,1,0
34.3,28.61,125.37,6,17,1,1,0
211.0,20.97,183.43,2,27,0,1,0
15.9,108.16,374.55,3,2,0,2,0
46.6,41.85,919.45,7,4,0,2,0
158.2,46.09,282.0,3,33,1,1,0
226.9,209.48,676.66,5,8,0,3,1
205.0,93.31,0.0,0,999,1,2,0
60.7,33.18,221.54,2,91,0,4,0
239.2,112.62,134.4,2,66,1,2,0
63.7,94.6,1020.28,8,3,1,1,0
85.9,7.01,567.34,8,2,1,2,0
262.0,64.94,362.12,5,6,1,1,0
203.8,29.55,432.6,4,5,1,1,1
355.6,55.98,843.78,6,10,0,1,1
207.9,188.04,255.01,3,16,0,1,0
166.2,98.56,301.26,7,3,1,1,0
32.7,106.46,115.56,3,21,0,2,0
97.5,52.56,474.33,8,25,1,2,0
70.5,106.75,476.97,6,36,0,1,0
65.3,36.72,293.48,5,18,1,1,0
665.2,64.44,450.2,4,12,1,1,1
104.9,95.89,362.18,4,34,1,1,0
415.7,94.16,291.5,4,80,1,1,1
194.5,21.84,143.23,3,17,1,2,0
300.1,164.36,394.82,4,12,0,2,0
140.7,32.28,107.63,1,42,0,1,0
169.8,231.5,243.88,2,69,0,1,0
137.1,97.58,297.62,2,106,1,1,0
54.1,92.69,350.51,7,9,1,1,0
245.7,34.12,87.86,4,12,1,1,0
74.3,42.98,425.29,5,78,1,3,1
19.4,156.63,420.36,3,11,1,1,0
201.7,144.8,157.02,3,14,1,1,0
50.1,53.49,473.06,4,34,1,1,0
522.8,50.69,123.07,2,28,1,2,1
569.0,51.63,495.99,7,70,0,1,0
458.4,113.08,572.82,4,32,0,2,1
98.2,106.68,319.73,4,23,1,2,0
17.8,74.74,457.17,4,3,0,1,0
489.4,64.83,457.41,5,122,0,4,1
